instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,count
47,16/02/2011,1,0,2,0,3,1,1,13.05,15.81,0.42,0.25,218,1897,2115
48,17/02/2011,1,0,2,0,4,1,1,17.87,21.43,0.5,0.23,259,2216,2475
49,18/02/2011,1,0,2,0,5,1,1,21.39,25.6,0.52,0.26,579,2348,2927
50,19/02/2011,1,0,2,0,6,0,1,16.37,19.57,0.19,0.51,532,1103,1635
51,20/02/2011,1,0,2,0,0,0,1,11.69,13.87,0.41,0.22,639,1173,1812
52,21/02/2011,1,0,2,1,1,0,2,12.44,14.2,0.6,0.31,195,912,1107
53,22/02/2011,1,0,2,0,2,1,1,7.47,9.3,0.58,0.2,74,1376,1450
54,23/02/2011,1,0,2,0,3,1,1,9.09,12.29,0.42,0.09,139,1778,1917
55,24/02/2011,1,0,2,0,4,1,2,12.12,14.46,0.7,0.25,100,1707,1807
56,25/02/2011,1,0,2,0,5,1,2,14.94,17.52,0.71,0.35,120,1341,1461
57,26/02/2011,1,0,2,0,6,0,1,11.58,14.11,0.54,0.19,424,1545,1969
58,27/02/2011,1,0,2,0,0,0,1,14.08,17.56,0.68,0.13,694,1708,2402
59,28/02/2011,1,0,2,0,1,1,2,16.7,20.01,0.88,0.29,81,1365,1446
60,01/03/2011,1,0,3,0,2,1,1,10.93,13.19,0.54,0.22,137,1714,1851
61,02/03/2011,1,0,3,0,3,1,1,13.74,16,0.45,0.31,231,1903,2134
62,03/03/2011,1,0,3,0,4,1,1,8.13,10.01,0.32,0.23,123,1562,1685
63,04/03/2011,1,0,3,0,5,1,2,10.73,12.78,0.61,0.2,214,1730,1944
64,05/03/2011,1,0,3,0,6,0,2,15.75,18.94,0.79,0.25,640,1437,2077
65,06/03/2011,1,0,3,0,0,0,2,15.44,18.31,0.95,0.34,114,491,605
66,07/03/2011,1,0,3,0,1,1,1,10.73,11.92,0.55,0.34,244,1628,1872
67,08/03/2011,1,0,3,0,2,1,1,11.99,15.12,0.42,0.12,316,1817,2133
68,09/03/2011,1,0,3,0,3,1,2,12.13,14.33,0.78,0.22,191,1700,1891
69,10/03/2011,1,0,3,0,4,1,3,15.95,19.28,0,0.26,46,577,623
70,11/03/2011,1,0,3,0,5,1,2,12.98,15.25,0.65,0.23,247,1730,1977
71,12/03/2011,1,0,3,0,6,0,1,13.5,16.29,0.59,0.22,724,1408,2132
72,13/03/2011,1,0,3,0,0,0,1,15.76,19,0.53,0.27,982,1435,2417
73,14/03/2011,1,0,3,0,1,1,1,13.33,16.6,0.5,0.14,359,1687,2046
74,15/03/2011,1,0,3,0,2,1,2,13.01,15.91,0.66,0.18,289,1767,2056
75,16/03/2011,1,0,3,0,3,1,2,14.97,18.35,0.78,0.2,321,1871,2192
76,17/03/2011,1,0,3,0,4,1,1,17.02,20.52,0.6,0.21,424,2320,2744
77,18/03/2011,1,0,3,0,5,1,1,22.14,26.35,0.53,0.23,884,2355,3239
78,19/03/2011,1,0,3,0,6,0,1,19.37,23.33,0.38,0.37,1424,1693,3117
79,20/03/2011,1,0,3,0,0,0,1,13.63,16.29,0.47,0.21,1047,1424,2471
80,21/03/2011,2,0,3,0,1,1,2,17.65,20.49,0.74,0.29,401,1676,2077
81,22/03/2011,2,0,3,0,2,1,1,18.11,22.03,0.62,0.23,460,2243,2703
82,23/03/2011,2,0,3,0,3,1,2,14.23,16.9,0.84,0.23,203,1918,2121
83,24/03/2011,2,0,3,0,4,1,2,11.68,13.54,0.81,0.24,166,1699,1865
84,25/03/2011,2,0,3,0,5,1,1,10.83,12.82,0.5,0.23,300,1910,2210
85,26/03/2011,2,0,3,0,6,0,1,10.9,12.88,0.39,0.21,981,1515,2496
86,27/03/2011,2,0,3,0,0,0,2,10.37,12.52,0.49,0.18,472,1221,1693
87,28/03/2011,2,0,3,0,1,1,1,10.84,12.88,0.3,0.21,222,1806,2028
88,29/03/2011,2,0,3,0,2,1,1,12.4,14.65,0.31,0.23,317,2108,2425
89,30/03/2011,2,0,3,0,3,1,2,12.3,14.87,0.65,0.17,168,1368,1536
90,31/03/2011,2,0,3,0,4,1,3,11,12.88,0.92,0.22,179,1506,1685
91,01/04/2011,2,0,4,0,5,1,2,12.3,14.17,0.69,0.26,307,1920,2227
92,02/04/2011,2,0,4,0,6,0,2,12.92,15.78,0.65,0.2,898,1354,2252
93,03/04/2011,2,0,4,0,0,0,1,15.51,18.94,0.48,0.18,1651,1598,3249
94,04/04/2011,2,0,4,0,1,1,1,23.51,27.15,0.43,0.39,734,2381,3115
95,05/04/2011,2,0,4,0,2,1,2,16.98,19.92,0.64,0.39,167,1628,1795
96,06/04/2011,2,0,4,0,3,1,1,16.02,19.38,0.47,0.26,413,2395,2808
97,07/04/2011,2,0,4,0,4,1,1,17.94,21.68,0.6,0.16,571,2570,3141
98,08/04/2011,2,0,4,0,5,1,2,13.77,16.22,0.84,0.23,172,1299,1471
99,09/04/2011,2,0,4,0,6,0,2,14.04,17.08,0.88,0.13,879,1576,2455
100,10/04/2011,2,0,4,0,0,0,2,17.49,21.34,0.86,0.15,1188,1707,2895
101,11/04/2011,2,0,4,0,1,1,2,24.42,28.26,0.72,0.32,855,2493,3348
102,12/04/2011,2,0,4,0,2,1,2,20.6,24.65,0.74,0.27,257,1777,2034
103,13/04/2011,2,0,4,0,3,1,2,16.91,20.86,0.82,0.25,209,1953,2162
104,14/04/2011,2,0,4,0,4,1,1,19.17,23.14,0.54,0.11,529,2738,3267
105,15/04/2011,2,0,4,1,5,0,1,18.31,22.1,0.67,0.23,642,2484,3126
106,16/04/2011,2,0,4,0,6,0,3,17.66,21.27,0.89,0.34,121,674,795
107,17/04/2011,2,0,4,0,0,0,1,18.72,22.28,0.48,0.3,1558,2186,3744
108,18/04/2011,2,0,4,0,1,1,1,21.01,25.16,0.54,0.16,669,2760,3429
109,19/04/2011,2,0,4,0,2,1,2,20.74,24.46,0.67,0.16,409,2795,3204
110,20/04/2011,2,0,4,0,3,1,1,24.4,28.22,0.61,0.24,613,3331,3944
111,21/04/2011,2,0,4,0,4,1,1,18.83,22.69,0.41,0.33,745,3444,4189
112,22/04/2011,2,0,4,0,5,1,2,13.8,16.1,0.73,0.22,177,1506,1683
113,23/04/2011,2,0,4,0,6,0,2,18.86,22.51,0.89,0.23,1462,2574,4036
114,24/04/2011,2,0,4,0,0,0,2,23.85,27.59,0.81,0.19,1710,2481,4191
115,25/04/2011,2,0,4,0,1,1,1,24.87,28.72,0.78,0.19,773,3300,4073
116,26/04/2011,2,0,4,0,2,1,1,25.9,29.7,0.73,0.33,678,3722,4400
117,27/04/2011,2,0,4,0,3,1,2,25.42,28.76,0.84,0.31,547,3325,3872
118,28/04/2011,2,0,4,0,4,1,2,25.32,28.95,0.7,0.32,569,3489,4058
119,29/04/2011,2,0,4,0,5,1,1,20.91,24.87,0.46,0.24,878,3717,4595
120,30/04/2011,2,0,4,0,6,0,1,19.37,23.2,0.5,0.24,1965,3347,5312
121,01/05/2011,2,0,5,0,0,0,2,18.52,22.41,0.76,0.11,1138,2213,3351
122,02/05/2011,2,0,5,0,1,1,2,22.52,26.64,0.73,0.18,847,3554,4401
123,03/05/2011,2,0,5,0,2,1,2,25.28,29.1,0.7,0.34,603,3848,4451
124,04/05/2011,2,0,5,0,3,1,2,16.98,20.23,0.74,0.33,255,2378,2633
125,05/05/2011,2,0,5,0,4,1,1,18.83,22.1,0.44,0.3,614,3819,4433
126,06/05/2011,2,0,5,0,5,1,1,19.65,23.71,0.59,0.23,894,3714,4608
127,07/05/2011,2,0,5,0,6,0,1,21.32,25.63,0.54,0.16,1612,3102,4714
128,08/05/2011,2,0,5,0,0,0,1,21.66,25.95,0.63,0.07,1401,2932,4333
129,09/05/2011,2,0,5,0,1,1,1,21.83,26.26,0.59,0.18,664,3698,4362
130,10/05/2011,2,0,5,0,2,1,1,21.83,26.14,0.49,0.12,694,4109,4803
131,11/05/2011,2,0,5,0,3,1,1,22.24,26.42,0.63,0.12,550,3632,4182
132,12/05/2011,2,0,5,0,4,1,1,21.94,26.17,0.75,0.19,695,4169,4864
133,13/05/2011,2,0,5,0,5,1,2,21.01,24.72,0.86,0.18,692,3413,4105
134,14/05/2011,2,0,5,0,6,0,2,21.35,25.03,0.92,0.13,902,2507,3409
135,15/05/2011,2,0,5,0,0,0,2,23.06,26.8,0.87,0.15,1582,2971,4553
136,16/05/2011,2,0,5,0,1,1,1,23.68,27.53,0.79,0.13,773,3185,3958
137,17/05/2011,2,0,5,0,2,1,2,23.03,26.93,0.84,0.28,678,3445,4123
138,18/05/2011,2,0,5,0,3,1,2,22.55,26.36,0.87,0.2,536,3319,3855
139,19/05/2011,2,0,5,0,4,1,2,21.76,25.54,0.83,0.11,735,3840,4575
140,20/05/2011,2,0,5,0,5,1,1,22,26.45,0.72,0.13,909,4008,4917
141,21/05/2011,2,0,5,0,6,0,1,24.7,28.6,0.63,0.12,2258,3547,5805
142,22/05/2011,2,0,5,0,0,0,1,24.77,28.72,0.75,0.15,1576,3084,4660
143,23/05/2011,2,0,5,0,1,1,2,25.9,29.51,0.81,0.23,836,3438,4274
144,24/05/2011,2,0,5,0,2,1,2,27.06,30.24,0.74,0.21,659,3833,4492
145,25/05/2011,2,0,5,0,3,1,1,27.09,30.78,0.7,0.15,740,4238,4978
146,26/05/2011,2,0,5,0,4,1,1,29.04,32.73,0.68,0.2,758,3919,4677
147,27/05/2011,2,0,5,0,5,1,1,27.95,31.85,0.65,0.24,871,3808,4679
148,28/05/2011,2,0,5,0,6,0,1,26.89,30.62,0.73,0.23,2001,2757,4758
149,29/05/2011,2,0,5,0,0,0,1,27.37,30.78,0.82,0.21,2355,2433,4788
150,30/05/2011,2,0,5,1,1,0,1,30.07,33.55,0.68,0.13,1549,2549,4098
151,31/05/2011,2,0,5,0,2,1,1,31.78,36.27,0.64,0.11,673,3309,3982
152,01/06/2011,2,0,6,0,3,1,2,31.33,36.05,0.68,0.21,513,3461,3974
153,02/06/2011,2,0,6,0,4,1,1,29.32,32.2,0.3,0.29,736,4232,4968
154,03/06/2011,2,0,6,0,5,1,1,25.42,29.36,0.35,0.25,898,4414,5312
155,04/06/2011,2,0,6,0,6,0,1,26.04,29.73,0.46,0.12,1869,3473,5342
156,05/06/2011,2,0,6,0,0,0,2,26.58,30.84,0.65,0.14,1685,3221,4906
157,06/06/2011,2,0,6,0,1,1,1,27.81,31.09,0.6,0.12,673,3875,4548
158,07/06/2011,2,0,6,0,2,1,1,29.01,32.8,0.6,0.19,763,4070,4833
159,08/06/2011,2,0,6,0,3,1,1,31.81,36.36,0.62,0.14,676,3725,4401
160,09/06/2011,2,0,6,0,4,1,2,33.14,37.88,0.57,0.15,563,3352,3915
161,10/06/2011,2,0,6,0,5,1,1,30.96,35.16,0.6,0.14,815,3771,4586
162,11/06/2011,2,0,6,0,6,0,1,29.72,33.9,0.65,0.15,1729,3237,4966
163,12/06/2011,2,0,6,0,0,0,1,28.39,32.17,0.75,0.16,1467,2993,4460
164,13/06/2011,2,0,6,0,1,1,1,26.04,30.08,0.49,0.31,863,4157,5020
165,14/06/2011,2,0,6,0,2,1,1,24.77,29.58,0.51,0.27,727,4164,4891
166,15/06/2011,2,0,6,0,3,1,1,25.69,29.39,0.47,0.17,769,4411,5180
167,16/06/2011,2,0,6,0,4,1,2,25.76,29.77,0.69,0.21,545,3222,3767
168,17/06/2011,2,0,6,0,5,1,1,26.62,30.02,0.74,0.14,863,3981,4844
169,18/06/2011,2,0,6,0,6,0,1,28.56,32.2,0.67,0.12,1807,3312,5119
170,19/06/2011,2,0,6,0,0,0,2,28.67,32.29,0.67,0.1,1639,3105,4744
171,20/06/2011,2,0,6,0,1,1,2,26.04,29.77,0.75,0.16,699,3311,4010
172,21/06/2011,3,0,6,0,2,1,2,27.91,31.88,0.77,0.17,774,4061,4835
173,22/06/2011,3,0,6,0,3,1,1,30.07,34.69,0.71,0.17,661,3846,4507
174,23/06/2011,3,0,6,0,4,1,2,29.86,34.69,0.7,0.24,746,4044,4790
175,24/06/2011,3,0,6,0,5,1,1,29.69,32.83,0.57,0.22,969,4022,4991
176,25/06/2011,3,0,6,0,6,0,1,28.49,32.17,0.48,0.21,1782,3420,5202
177,26/06/2011,3,0,6,0,0,0,1,27.88,31.88,0.51,0.09,1920,3385,5305
178,27/06/2011,3,0,6,0,1,1,2,27.98,31.85,0.66,0.11,854,3854,4708
179,28/06/2011,3,0,6,0,2,1,1,30.51,34.63,0.63,0.14,732,3916,4648
180,29/06/2011,3,0,6,0,3,1,1,29.86,32.73,0.5,0.26,848,4377,5225
181,30/06/2011,3,0,6,0,4,1,1,28.56,31.85,0.43,0.19,1027,4488,5515
182,01/07/2011,3,0,7,0,5,1,1,29.62,32.61,0.4,0.1,1246,4116,5362
183,02/07/2011,3,0,7,0,6,0,1,30.27,33.37,0.44,0.12,2204,2915,5119
184,03/07/2011,3,0,7,0,0,0,2,29.38,33.43,0.68,0.23,2282,2367,4649
185,04/07/2011,3,0,7,1,1,0,2,29.79,33.27,0.64,0.08,3065,2978,6043
186,05/07/2011,3,0,7,0,2,1,1,30.61,34.82,0.59,0.13,1031,3634,4665
187,06/07/2011,3,0,7,0,3,1,1,29.52,34.28,0.74,0.15,784,3845,4629
188,07/07/2011,3,0,7,0,4,1,1,30.75,34.34,0.65,0.16,754,3838,4592
189,08/07/2011,3,0,7,0,5,1,2,29.08,33.52,0.76,0.23,692,3348,4040
190,09/07/2011,3,0,7,0,6,0,1,30.07,33.21,0.61,0.17,1988,3348,5336
191,10/07/2011,3,0,7,0,0,0,1,30.65,34.5,0.58,0.18,1743,3138,4881
192,11/07/2011,3,0,7,0,1,1,1,31.26,36.49,0.64,0.28,723,3363,4086
193,12/07/2011,3,0,7,0,2,1,1,32.56,36.96,0.56,0.2,662,3596,4258
194,13/07/2011,3,0,7,0,3,1,1,30.61,34.47,0.63,0.15,748,3594,4342
195,14/07/2011,3,0,7,0,4,1,1,27.91,31.76,0.48,0.24,888,4196,5084
196,15/07/2011,3,0,7,0,5,1,1,27.2,31.22,0.59,0.18,1318,4220,5538
197,16/07/2011,3,0,7,0,6,0,1,28.15,31.91,0.58,0.21,2418,3505,5923
198,17/07/2011,3,0,7,0,0,0,1,29.49,33.49,0.6,0.25,2006,3296,5302
199,18/07/2011,3,0,7,0,1,1,1,30.61,35.2,0.65,0.22,841,3617,4458
200,19/07/2011,3,0,7,0,2,1,1,31.84,37.37,0.65,0.13,752,3789,4541
201,20/07/2011,3,0,7,0,3,1,1,31.5,37.34,0.71,0.11,644,3688,4332
202,21/07/2011,3,0,7,0,4,1,2,33.42,41.32,0.69,0.22,632,3152,3784
203,22/07/2011,3,0,7,0,5,1,1,34.78,42.04,0.58,0.13,562,2825,3387
204,23/07/2011,3,0,7,0,6,0,1,34.82,40.21,0.5,0.13,987,2298,3285
205,24/07/2011,3,0,7,0,0,0,1,34.03,39.74,0.55,0.17,1050,2556,3606
206,25/07/2011,3,0,7,0,1,1,1,30.48,36.05,0.76,0.09,568,3272,3840
207,26/07/2011,3,0,7,0,2,1,1,31.64,34.85,0.54,0.2,750,3840,4590
208,27/07/2011,3,0,7,0,3,1,1,31.78,34.53,0.4,0.18,755,3901,4656
209,28/07/2011,3,0,7,0,4,1,1,31.95,36.99,0.58,0.18,606,3784,4390
210,29/07/2011,3,0,7,0,5,1,1,34.37,39.3,0.54,0.17,670,3176,3846
211,30/07/2011,3,0,7,0,6,0,1,32.97,36.43,0.47,0.17,1559,2916,4475
212,31/07/2011,3,0,7,0,0,0,1,33.04,36.49,0.48,0.16,1524,2778,4302
213,01/08/2011,3,0,8,0,1,1,1,31.64,35.16,0.55,0.16,729,3537,4266
214,02/08/2011,3,0,8,0,2,1,1,32.12,35.35,0.49,0.21,801,4044,4845
215,03/08/2011,3,0,8,0,3,1,2,30,34,0.66,0.14,467,3107,3574
216,04/08/2011,3,0,8,0,4,1,2,29.11,33.24,0.76,0.2,799,3777,4576
217,05/08/2011,3,0,8,0,5,1,1,29.14,32.83,0.63,0.18,1023,3843,4866
218,06/08/2011,3,0,8,0,6,0,2,29.38,33.81,0.76,0.23,1521,2773,4294
219,07/08/2011,3,0,8,0,0,0,1,30.44,35.76,0.75,0.2,1298,2487,3785
220,08/08/2011,3,0,8,0,1,1,1,31.36,35.16,0.59,0.19,846,3480,4326
221,09/08/2011,3,0,8,0,2,1,1,31.78,36.21,0.57,0.15,907,3695,4602
222,10/08/2011,3,0,8,0,3,1,1,31.43,34.25,0.42,0.2,884,3896,4780
223,11/08/2011,3,0,8,0,4,1,1,29.42,32.58,0.42,0.16,812,3980,4792
224,12/08/2011,3,0,8,0,5,1,1,29.04,32.7,0.42,0.13,1051,3854,4905
225,13/08/2011,3,0,8,0,6,0,2,28.12,32.29,0.73,0.21,1504,2646,4150
226,14/08/2011,3,0,8,0,0,0,2,27.74,31.22,0.82,0.22,1338,2482,3820
227,15/08/2011,3,0,8,0,1,1,1,27.3,30.81,0.71,0.21,775,3563,4338
228,16/08/2011,3,0,8,0,2,1,1,28.73,32.29,0.58,0.24,721,4004,4725
229,17/08/2011,3,0,8,0,3,1,1,29.66,33.33,0.58,0.14,668,4026,4694
230,18/08/2011,3,0,8,0,4,1,1,29.18,33.11,0.65,0.23,639,3166,3805
231,19/08/2011,3,0,8,0,5,1,2,28.08,31.66,0.72,0.14,797,3356,4153
232,20/08/2011,3,0,8,0,6,0,1,28.6,32.45,0.67,0.1,1914,3277,5191
233,21/08/2011,3,0,8,0,0,0,1,29.14,33.78,0.77,0.25,1249,2624,3873
234,22/08/2011,3,0,8,0,1,1,1,28.36,31.91,0.47,0.28,833,3925,4758
235,23/08/2011,3,0,8,0,2,1,1,26.27,30.3,0.46,0.15,1281,4614,5895
236,24/08/2011,3,0,8,0,3,1,1,27.61,31.53,0.6,0.25,949,4181,5130
237,25/08/2011,3,0,8,0,4,1,2,28.05,32.29,0.77,0.21,435,3107,3542
238,26/08/2011,3,0,8,0,5,1,1,28.7,32.99,0.76,0.08,768,3893,4661
239,27/08/2011,3,0,8,0,6,0,2,27.88,31.78,0.85,0.38,226,889,1115
240,28/08/2011,3,0,8,0,0,0,1,28.99,32.4,0.56,0.3,1415,2919,4334
241,29/08/2011,3,0,8,0,1,1,1,26.1,30.4,0.55,0.16,729,3905,4634
242,30/08/2011,3,0,8,0,2,1,1,26.21,29.74,0.55,0.13,775,4429,5204
243,31/08/2011,3,0,8,0,3,1,1,26.92,30.56,0.6,0.08,688,4370,5058
244,01/09/2011,3,0,9,0,4,1,1,26.86,30.75,0.64,0.14,783,4332,5115
245,02/09/2011,3,0,9,0,5,1,2,26.38,30.24,0.73,0.14,875,3852,4727
246,03/09/2011,3,0,9,0,6,0,1,27.44,31.66,0.72,0.19,1935,2549,4484
247,04/09/2011,3,0,9,0,0,0,1,29.08,33.27,0.74,0.21,2521,2419,4940
248,05/09/2011,3,0,9,1,1,0,2,27.61,31.28,0.79,0.21,1236,2115,3351
249,06/09/2011,3,0,9,0,2,1,3,22.14,25.76,0.89,0.34,204,2506,2710
250,07/09/2011,3,0,9,0,3,1,3,24.57,27.21,0.92,0.1,118,1878,1996
251,08/09/2011,3,0,9,0,4,1,3,25.99,27.77,0.94,0.19,153,1689,1842
252,09/09/2011,3,0,9,0,5,1,2,26.65,28.95,0.9,0.12,417,3127,3544
253,10/09/2011,3,0,9,0,6,0,1,27.06,30.4,0.75,0.15,1750,3595,5345
254,11/09/2011,3,0,9,0,0,0,1,26.79,30.46,0.71,0.12,1633,3413,5046
255,12/09/2011,3,0,9,0,1,1,1,26.42,30.11,0.69,0.09,690,4023,4713
256,13/09/2011,3,0,9,0,2,1,1,26.68,30.18,0.71,0.14,701,4062,4763
257,14/09/2011,3,0,9,0,3,1,1,27.61,31.34,0.7,0.17,647,4138,4785
258,15/09/2011,3,0,9,0,4,1,2,23.68,27.68,0.71,0.27,428,3231,3659
259,16/09/2011,3,0,9,0,5,1,2,19.24,23.07,0.59,0.16,742,4018,4760
260,17/09/2011,3,0,9,0,6,0,2,20.16,23.93,0.72,0.19,1434,3077,4511
261,18/09/2011,3,0,9,0,0,0,1,20.81,24.53,0.7,0.18,1353,2921,4274
262,19/09/2011,3,0,9,0,1,1,2,22.52,26.48,0.69,0.15,691,3848,4539
263,20/09/2011,3,0,9,0,2,1,2,23.03,26.61,0.88,0.13,438,3203,3641
264,21/09/2011,3,0,9,0,3,1,2,24.4,27.53,0.9,0.1,539,3813,4352
265,22/09/2011,3,0,9,0,4,1,2,25.76,27.75,0.9,0.13,555,4240,4795
266,23/09/2011,4,0,9,0,5,1,2,24.98,26.11,0.97,0.08,258,2137,2395
267,24/09/2011,4,0,9,0,6,0,2,24.87,28.22,0.86,0.08,1776,3647,5423
268,25/09/2011,4,0,9,0,0,0,2,26,28.63,0.84,0.05,1544,3466,5010
269,26/09/2011,4,0,9,0,1,1,2,26.62,29.45,0.85,0.11,684,3946,4630
270,27/09/2011,4,0,9,0,2,1,2,26.1,28.73,0.89,0.12,477,3643,4120
271,28/09/2011,4,0,9,0,3,1,2,26.04,28.76,0.85,0.15,480,3427,3907
272,29/09/2011,4,0,9,0,4,1,1,25.28,28.73,0.7,0.17,653,4186,4839
273,30/09/2011,4,0,9,0,5,1,1,23.13,27.24,0.65,0.21,830,4372,5202
274,01/10/2011,4,0,10,0,6,0,2,16.81,20.64,0.75,0.29,480,1949,2429
275,02/10/2011,4,0,10,0,0,0,2,14.62,17.27,0.79,0.22,616,2302,2918
276,03/10/2011,4,0,10,0,1,1,2,15.75,19.6,0.76,0.08,330,3240,3570
277,04/10/2011,4,0,10,0,2,1,1,19.85,23.64,0.71,0.21,486,3970,4456
278,05/10/2011,4,0,10,0,3,1,1,22.07,26.36,0.65,0.18,559,4267,4826
279,06/10/2011,4,0,10,0,4,1,1,20.26,24.02,0.62,0.13,639,4126,4765
280,07/10/2011,4,0,10,0,5,1,1,20.94,25.22,0.68,0.02,949,4036,4985
281,08/10/2011,4,0,10,0,6,0,1,21.39,25.66,0.7,0.05,2235,3174,5409
282,09/10/2011,4,0,10,0,0,0,1,22.17,26.2,0.73,0.06,2397,3114,5511
283,10/10/2011,4,0,10,1,1,0,1,23.4,27.15,0.73,0.04,1514,3603,5117
284,11/10/2011,4,0,10,0,2,1,2,23.23,27.3,0.81,0.14,667,3896,4563
285,12/10/2011,4,0,10,0,3,1,3,22.28,25.89,0.91,0.25,217,2199,2416
286,13/10/2011,4,0,10,0,4,1,2,24.16,27.59,0.9,0.14,290,2623,2913
287,14/10/2011,4,0,10,0,5,1,2,22.58,26.48,0.72,0.22,529,3115,3644
288,15/10/2011,4,0,10,0,6,0,1,20.77,24.94,0.48,0.26,1899,3318,5217
289,16/10/2011,4,0,10,0,0,0,1,20.98,25.16,0.49,0.28,1748,3293,5041
290,17/10/2011,4,0,10,0,1,1,1,21.9,25.54,0.58,0.18,713,3857,4570
291,18/10/2011,4,0,10,0,2,1,2,21.83,26.14,0.7,0.11,637,4111,4748
292,19/10/2011,4,0,10,0,3,1,3,22.21,25.69,0.9,0.24,254,2170,2424
293,20/10/2011,4,0,10,0,4,1,1,19.51,23.33,0.64,0.42,471,3724,4195
294,21/10/2011,4,0,10,0,5,1,1,17.53,21.18,0.57,0.22,676,3628,4304
295,22/10/2011,4,0,10,0,6,0,1,17.32,21.27,0.63,0.09,1499,2809,4308
